_id|timestamp|sessionid|node|log|env_timestamp|type|direction|packet_id|unique_id
64608e6efe11522f1d30b508|1496207|2023-05-14 07:29:32.176|10|SendData 010210|2023-05-14 07:54:28.383|packet|send|010210|14010210
64608e6efe11522f1d30b509|1496307|2023-05-14 07:29:32.176|13|SendData 013207|2023-05-14 07:54:28.483|packet|send|013207|14013207
64608e6efe11522f1d30b50a|1496586|2023-05-14 07:29:32.176|2|RecvData 013207|2023-05-14 07:54:28.762|packet|recv|013207|14013207
64608e6efe11522f1d30b50b|1496642|2023-05-14 07:29:32.176|1|RecvData 010210|2023-05-14 07:54:28.818|packet|recv|010210|14010210
64608e6efe11522f1d30b50c|1496866|2023-05-14 07:29:32.176|14|SendData 014206|2023-05-14 07:54:29.042|packet|send|014206|14014206
64608e6efe11522f1d30b50d|1496977|2023-05-14 07:29:32.176|2|RecvData 014206|2023-05-14 07:54:29.153|packet|recv|014206|14014206
64608e6efe11522f1d30b50e|1498358|2023-05-14 07:29:32.176|4|SendData 004216|2023-05-14 07:54:30.534|packet|send|004216|14004216
64608e6efe11522f1d30b50f|1498453|2023-05-14 07:29:32.176|9|SendData 009212|2023-05-14 07:54:30.629|packet|send|009212|14009212
64608e6efe11522f1d30b510|1498519|2023-05-14 07:29:32.176|1|RecvData 004216|2023-05-14 07:54:30.695|packet|recv|004216|14004216
64608e6efe11522f1d30b511|1498623|2023-05-14 07:29:32.176|7|SendData 007214|2023-05-14 07:54:30.799|packet|send|007214|14007214
64608e6efe11522f1d30b512|1498854|2023-05-14 07:29:32.176|2|RecvData 007214|2023-05-14 07:54:31.030|packet|recv|007214|14007214
64608e6efe11522f1d30b513|1498898|2023-05-14 07:29:32.176|2|RecvData 009212|2023-05-14 07:54:31.074|packet|recv|009212|14009212
64608e6efe11522f1d30b514|1499080|2023-05-14 07:29:32.176|6|SendData 006215|2023-05-14 07:54:31.256|packet|send|006215|14006215
64608e6efe11522f1d30b515|1499103|2023-05-14 07:29:32.176|5|SendData 005216|2023-05-14 07:54:31.279|packet|send|005216|14005216
64608e6efe11522f1d30b516|1499303|2023-05-14 07:29:32.176|2|RecvData 005216|2023-05-14 07:54:31.479|packet|recv|005216|14005216
64608e6efe11522f1d30b517|1499334|2023-05-14 07:29:32.176|2|RecvData 006215|2023-05-14 07:54:31.510|packet|recv|006215|14006215
64608e6efe11522f1d30b518|1499409|2023-05-14 07:29:32.176|12|SendData 012209|2023-05-14 07:54:31.585|packet|send|012209|14012209
64608e6efe11522f1d30b519|1499458|2023-05-14 07:29:32.176|11|SendData 011210|2023-05-14 07:54:31.634|packet|send|011210|14011210
64608e6efe11522f1d30b51a|1499555|2023-05-14 07:29:32.176|1|RecvData 012209|2023-05-14 07:54:31.731|packet|recv|012209|14012209
64608e6efe11522f1d30b51b|1499573|2023-05-14 07:29:32.176|3|SendData 003218|2023-05-14 07:54:31.749|packet|send|003218|14003218
64608e6efe11522f1d30b51c|1499600|2023-05-14 07:29:32.176|1|RecvData 003218|2023-05-14 07:54:31.776|packet|recv|003218|14003218
64608e6efe11522f1d30b51d|1499615|2023-05-14 07:29:32.176|1|RecvData 011210|2023-05-14 07:54:31.791|packet|recv|011210|14011210
64608e6efe11522f1d30b51e|1499738|2023-05-14 07:29:32.176|8|SendData 008213|2023-05-14 07:54:31.914|packet|send|008213|14008213
